business_id,business_name,industry,annual_revenue,annual_expenses,profit_margin,credit_score,loan_amount,risk_category,social_media_presence,customer_sentiment_score
BUS-00001,Business_1,Education,5770238.05,3355488.69,41.85,389,730806.8,High,702300,1.91
BUS-00002,Business_2,Finance,35235853.64,1603014.12,95.45,519,8786898.48,Medium,4653277,4.27
BUS-00003,Business_3,Healthcare,24563480.57,6388714.31,73.99,685,7288245.33,Medium,4963365,3.18
BUS-00004,Business_4,Manufacturing,41587062.36,18420177.15,55.71,562,3502732.47,Medium,3297056,3.44
BUS-00005,Business_5,Education,7516613.21,2749959.92,63.41,576,2073726.63,Medium,3255773,2.38
BUS-00006,Business_6,Technology,46154702.56,10435013.15,77.39,800,2200097.3,Low,857492,4.07
BUS-00007,Business_7,Manufacturing,32456090.66,27908390.5,14.01,808,6023274.66,Low,1532882,3.55
BUS-00008,Business_8,Technology,8131957.07,511082.68,93.72,632,1894116.69,Medium,2356109,1.46
BUS-00009,Business_9,Real Estate,34541970.64,7379858.78,78.64,743,1104274.4,Low,1002145,4.1
BUS-00010,Business_10,Manufacturing,29490777.08,9953601.68,66.25,513,4112093.13,Medium,4971396,4.66
BUS-00011,Business_11,Finance,40024438.87,9104973.53,77.25,405,3497784.46,High,1842293,1.88
BUS-00012,Business_12,Finance,21246863.43,4457924.59,79.02,531,3314105.04,Medium,1129206,2.84
BUS-00013,Business_13,Technology,34789171.06,16445112.13,52.73,359,5530636.49,High,564136,3.22
BUS-00014,Business_14,Finance,826124.7,136579.67,83.47,390,17881.98,High,2577983,4.7
BUS-00015,Business_15,Manufacturing,44782382.06,39041157.36,12.82,789,6273552.37,Low,1285970,3.09
BUS-00016,Business_16,Finance,10517799.18,4188568.38,60.18,811,390918.77,Low,2576765,3.33
BUS-00017,Business_17,Real Estate,48333497.19,28025376.13,42.02,366,9097985.86,High,2502893,1.03
BUS-00018,Business_18,Retail,20525054.88,9502609.85,53.7,322,1294209.42,High,457258,1.4
BUS-00019,Business_19,Real Estate,5669844.08,4672557.04,17.59,781,489039.44,Low,2821986,1.68
BUS-00020,Business_20,Healthcare,22836027.82,4318633.64,81.09,399,1065750.52,High,533514,3.12
BUS-00021,Business_21,Retail,15377971.94,679398.31,95.58,712,2240876.36,Low,3726494,2.35
BUS-00022,Business_22,Real Estate,36259645.1,12009189.22,66.88,847,2711902.39,Low,4651391,2.6
BUS-00023,Business_23,Education,32453845.29,4063624.78,87.48,435,8094234.3,High,4709047,3.89
BUS-00024,Business_24,Finance,19021833.66,12734707.15,33.05,560,37233.7,Medium,2838444,1.82
BUS-00025,Business_25,Retail,26033281.35,12530018.56,51.87,403,7480909.33,High,1790110,3.29
BUS-00026,Business_26,Real Estate,21027736.55,17097113.58,18.69,727,685220.7,Low,3767723,4.41
