customer_id,age,income,employment_status,credit_score,existing_loans,loan_amount_requested,loan_purpose,loan_approval_status,debt_to_income_ratio,loan_interest_rate,loan_term,default_risk
d0abbfa2,31,42363,Full-time,590,3,475993,Education,Approved,0.36,3.0,60,Low
a5a3ae1e,53,68672,Self-employed,419,3,293120,Car,Pending,0.58,12.93,360,Low
a5e51f18,44,127276,Full-time,686,5,85061,Personal,Approved,0.18,11.1,240,Low
0d00edcd,59,59357,Unemployed,567,2,402523,Personal,Pending,0.42,10.59,48,Medium
8f96c442,32,102568,Unemployed,496,4,330720,Education,Rejected,0.11,11.2,12,Medium
dad520b8,62,56845,Full-time,437,2,439668,Car,Approved,0.61,12.39,36,Medium
ce0840a7,65,74924,Unemployed,657,4,412073,Car,Rejected,0.15,3.27,48,Low
2289b0b5,28,80774,Unemployed,676,4,181691,Home,Rejected,0.46,8.43,12,Medium
4489a34d,45,23399,Full-time,584,3,76930,Car,Approved,0.26,11.78,12,High
09fdfee8,59,31814,Self-employed,683,3,122261,Personal,Approved,0.57,7.5,48,Medium
92a4248a,44,31126,Self-employed,421,3,353341,Business,Rejected,0.57,9.17,36,High
6073d8f7,26,78806,Self-employed,377,1,374128,Home,Approved,0.45,14.04,48,Low
d2b8f8bd,48,31543,Unemployed,493,1,74341,Personal,Approved,0.71,10.67,180,Medium
1b407f3d,27,60784,Self-employed,521,4,222219,Business,Approved,0.34,11.78,360,Low
0724fad0,27,24413,Full-time,341,3,391552,Education,Approved,0.47,5.14,12,Low
f4500390,38,113815,Unemployed,625,0,105413,Home,Approved,0.2,6.58,36,High
b3d7c59d,53,63335,Unemployed,776,5,286865,Education,Approved,0.16,3.14,180,Low
bb87a7a7,42,52670,Unemployed,364,2,84711,Home,Rejected,0.64,6.92,120,Medium
2b7676cf,36,142850,Unemployed,770,1,210499,Personal,Rejected,0.5,8.72,120,High
e96d881b,31,136113,Unemployed,764,2,308576,Business,Approved,0.47,8.81,120,High
e1cfb0ce,20,129880,Full-time,537,3,129183,Car,Rejected,0.69,14.53,180,Low
401c7dc7,56,144720,Unemployed,324,0,102674,Education,Rejected,0.13,12.98,120,High
5064ca85,38,130198,Self-employed,500,2,474655,Home,Approved,0.4,11.41,48,Medium
ba54e7be,32,85350,Part-time,820,3,314066,Home,Approved,0.77,6.62,120,High
c861a3db,27,125854,Part-time,772,5,57994,Personal,Rejected,0.38,5.15,24,High
ee31bae8,55,98629,Self-employed,774,0,200617,Education,Approved,0.18,8.97,360,Medium
91b8ac3b,50,26454,Full-time,518,0,359407,Home,Rejected,0.74,7.85,48,Low
eaabdeea,61,111442,Self-employed,386,0,371969,Car,Rejected,0.75,7.15,120,Medium
c9c272a2,68,58711,Part-time,404,0,430640,Education,Approved,0.38,2.93,120,Medium
065bc93e,29,32276,Self-employed,642,1,358488,Business,Rejected,0.39,5.96,60,Medium
43e66cb0,45,58814,Self-employed,446,0,305663,Car,Rejected,0.51,3.45,180,Medium
227e1f29,42,120212,Unemployed,521,2,139235,Education,Rejected,0.4,6.48,36,Medium
2bae04ca,30,48156,Full-time,351,4,258045,Business,Rejected,0.42,7.33,180,Medium
85c19d0a,66,119613,Full-time,589,1,490674,Business,Approved,0.51,7.02,240,High
4d8a242e,24,134849,Unemployed,516,4,206815,Personal,Approved,0.44,12.41,24,Low
1f3bc9a6,41,25669,Full-time,659,2,119744,Personal,Approved,0.78,12.41,180,High
f3c8c54c,40,80961,Part-time,783,1,385400,Personal,Rejected,0.76,13.21,120,High
62f552ae,66,92083,Unemployed,644,2,379807,Personal,Rejected,0.23,8.29,360,Low
f3aee4d2,63,39317,Full-time,787,0,51844,Personal,Approved,0.33,9.38,12,Low
751a1e26,70,21665,Full-time,511,1,197170,Personal,Rejected,0.7,11.67,360,Medium
26b0c2aa,31,148231,Self-employed,435,0,185948,Home,Approved,0.16,8.77,48,Low
a4dda5b9,62,99776,Self-employed,742,3,187408,Car,Rejected,0.44,10.06,36,Low
77f61968,36,115779,Full-time,419,4,397346,Personal,Approved,0.24,6.5,12,Medium
3b18ae0f,24,109141,Self-employed,646,4,485911,Car,Approved,0.75,4.04,240,Low
c9c464c1,47,104286,Unemployed,717,5,163498,Education,Approved,0.69,7.33,36,Low
8da2b4a3,63,144512,Self-employed,467,2,482349,Car,Approved,0.72,11.53,12,Low
e457905e,22,35715,Self-employed,461,2,20381,Personal,Approved,0.65,10.01,12,High
b4a06fa3,20,82635,Unemployed,530,3,336734,Personal,Rejected,0.42,14.52,360,Low
cb5e6453,51,79139,Full-time,437,0,90035,Car,Rejected,0.75,13.05,240,Medium
a63a6dcc,47,144339,Self-employed,404,1,231771,Car,Approved,0.77,5.75,360,Low
bf0be43a,57,75588,Part-time,313,3,77308,Personal,Approved,0.33,14.66,48,Low
12a17b2d,25,102532,Self-employed,570,3,472641,Personal,Approved,0.35,8.53,180,High
45eeecda,45,74531,Self-employed,550,3,447856,Car,Rejected,0.23,14.9,240,Low
cb6bfe59,66,90938,Part-time,482,4,88433,Education,Pending,0.41,9.43,48,Low
8dfb7ed6,50,149608,Full-time,772,2,94106,Business,Rejected,0.2,7.09,60,Low
f18edfcf,59,138124,Self-employed,816,0,294571,Car,Rejected,0.78,12.6,180,Medium
c2f0506d,55,32770,Full-time,476,4,469902,Home,Approved,0.35,4.81,180,Medium
4ad2d879,42,124227,Unemployed,746,4,164346,Home,Rejected,0.26,11.77,60,Low
06e11bf0,30,105629,Part-time,636,1,76602,Home,Approved,0.37,3.89,120,Medium
58fce956,35,112221,Self-employed,412,1,457616,Personal,Approved,0.1,3.23,12,Medium
78b7cf27,44,108951,Full-time,690,0,492501,Personal,Approved,0.41,8.76,120,Low
4b21fef5,63,115439,Part-time,574,2,350524,Education,Approved,0.36,10.24,48,Low
e34ab9df,60,111000,Unemployed,673,0,98562,Car,Rejected,0.64,9.43,180,Medium
d75e36aa,60,94258,Self-employed,600,4,124109,Home,Approved,0.45,14.9,180,Medium
d375dbac,38,64756,Unemployed,731,2,352257,Business,Rejected,0.37,4.33,240,Low
33601b0e,48,146714,Self-employed,759,5,294975,Business,Rejected,0.61,14.37,48,Medium
93f82079,45,141234,Self-employed,433,4,307787,Home,Rejected,0.43,12.26,24,Medium
3edc79ff,44,111316,Self-employed,719,0,335048,Home,Approved,0.16,8.17,24,Medium
12814679,55,121375,Full-time,798,3,294720,Home,Rejected,0.19,9.03,48,Low
1d6ab936,54,93605,Self-employed,454,5,392442,Personal,Rejected,0.12,14.9,60,Medium
ee5f439f,36,22253,Unemployed,588,1,142580,Personal,Approved,0.13,4.86,180,Low
c9eda3a0,48,35623,Part-time,375,5,387460,Education,Rejected,0.2,11.79,36,Low
cc019cae,24,80313,Part-time,750,5,283810,Home,Approved,0.15,4.61,180,Medium
ef2c93a5,26,97587,Unemployed,395,2,479678,Business,Approved,0.19,4.05,24,Low
f7a4d1b3,70,53256,Part-time,680,5,354306,Home,Rejected,0.47,12.69,240,Low
8b633e69,44,43191,Full-time,604,4,219782,Personal,Approved,0.64,3.08,120,Medium
31bc1a46,61,140023,Unemployed,654,0,284976,Car,Rejected,0.33,12.63,180,Medium
a404effe,40,63904,Part-time,708,2,364349,Personal,Approved,0.54,5.29,120,Low
6710c142,49,148183,Self-employed,453,2,249489,Car,Approved,0.34,2.57,60,Low
59f6d3b1,45,58386,Unemployed,746,1,464717,Personal,Rejected,0.25,2.68,240,Medium
3dcd0ffc,42,96218,Unemployed,564,2,58801,Business,Approved,0.22,13.07,24,Low
a6444121,55,99321,Unemployed,757,4,297518,Business,Approved,0.48,4.56,360,Medium
f1a0c7cb,31,118699,Part-time,819,0,190211,Car,Approved,0.6,11.03,360,Medium
5e9bc188,70,43299,Self-employed,812,3,332102,Business,Approved,0.72,5.89,240,Low
5ae42251,37,66284,Part-time,608,4,258580,Education,Pending,0.36,7.85,120,High
