business_id,market_trend_score,industry_growth_rate,competitor_count,customer_acquisition_cost,customer_retention_rate,advertising_budget,brand_reputation_score,social_media_engagement,sentiment_score
MKT-00001,4,8.07,130,254.34,89.31,1232132.49,1.05,364570,2.47
MKT-00002,3,6.48,296,278.42,85.86,4052126.0,3.03,551037,4.91
MKT-00003,2,10.45,191,347.65,75.61,1946217.2,3.7,77799,1.91
MKT-00004,9,10.36,164,107.33,83.48,1984510.41,2.31,974300,3.96
MKT-00005,5,-4.5,89,499.37,76.78,2088795.77,4.52,608665,1.97
MKT-00006,1,0.15,217,300.55,50.98,4767069.9,2.49,859912,4.07
MKT-00007,1,8.01,204,296.46,64.23,1332727.57,2.07,859976,1.29
MKT-00008,6,10.19,208,435.18,51.62,1336647.06,3.67,572192,1.72
MKT-00009,9,7.22,449,42.19,61.98,3391877.59,3.78,954750,4.12
MKT-00010,7,3.8,405,204.16,65.28,3713636.28,1.72,836709,4.1
MKT-00011,1,5.1,39,260.89,53.31,670008.31,4.43,310186,3.31
MKT-00012,3,-0.87,300,259.94,73.13,307712.33,1.11,571334,1.85
MKT-00013,7,13.35,141,256.96,67.52,772193.02,3.81,649510,4.95
MKT-00014,7,10.73,479,367.58,75.32,2226552.6,3.67,941259,2.21
MKT-00015,3,11.87,24,290.4,63.26,4690562.95,3.77,17115,1.3
MKT-00016,3,-0.15,318,295.02,77.31,4387637.71,4.1,902662,1.29
MKT-00017,4,8.89,125,311.64,60.03,3811952.28,1.31,220192,4.49
MKT-00018,7,11.09,496,121.58,54.57,2208070.92,3.89,824987,3.79
MKT-00019,2,3.47,159,326.97,80.45,1929407.1,4.88,571252,1.29
MKT-00020,4,6.22,137,421.97,61.29,839559.68,3.75,482789,3.79
MKT-00021,9,3.58,416,419.82,90.15,1413977.36,1.16,666684,2.18
MKT-00022,7,6.66,29,350.76,84.04,1129622.49,4.16,960288,1.61
MKT-00023,6,-0.84,106,452.98,75.53,144216.6,4.79,618434,2.46
MKT-00024,1,-2.76,100,75.33,59.67,1849457.31,2.56,605799,3.56
MKT-00025,4,9.57,232,352.7,53.73,1734535.12,2.87,937049,4.24
MKT-00026,9,6.69,19,92.2,62.37,2708160.9,3.34,960394,1.53
MKT-00027,8,11.46,275,446.9,51.33,2955114.98,5.0,933048,1.29
MKT-00028,1,5.28,384,309.56,77.0,57928.74,4.46,852763,1.76
MKT-00029,2,0.72,9,491.71,56.16,2945004.66,1.81,680950,1.33
MKT-00030,9,3.92,230,449.66,79.83,148605.71,3.43,748302,1.56
MKT-00031,1,6.48,45,285.33,55.03,2561060.44,2.96,321359,1.61
MKT-00032,5,8.67,355,446.51,65.46,912697.27,4.6,792209,1.23
MKT-00033,1,4.85,171,407.99,81.29,1298635.4,1.71,733405,1.93
