Customer_ID,Subscription,Monthly_Fee,Spending_Category,Monthly_Spending,Cancel_Probability
CUSTS-4731,Amazon Prime,21.07,Shopping,135.19,0.55
CUSTS-5269,Hulu,5.15,Shopping,183.42,0.66
CUSTS-6878,Amazon Prime,25.96,Food,121.46,0.74
CUSTS-1040,Apple Music,9.95,Healthcare,327.2,0.14
CUSTS-6928,Disney+,16.3,Shopping,202.91,0.6
CUSTS-4830,PlayStation Plus,12.71,Entertainment,182.72,0.95
CUSTS-7062,Spotify,9.71,Travel,455.42,0.94
CUSTS-8788,Hulu,25.09,Shopping,63.22,0.93
CUSTS-9602,Hulu,5.05,Travel,479.96,0.92
CUSTS-3901,Adobe Creative Cloud,14.71,Education,100.21,0.3
CUSTS-3578,PlayStation Plus,11.07,Healthcare,161.88,0.79
CUSTS-6606,PlayStation Plus,21.06,Food,198.05,0.12
CUSTS-9204,Adobe Creative Cloud,6.92,Healthcare,199.29,0.12
CUSTS-7616,Netflix,14.17,Utilities,467.15,0.48
CUSTS-1766,Hulu,26.58,Education,327.79,0.45
CUSTS-5245,Disney+,8.55,Utilities,364.87,0.34
CUSTS-7428,PlayStation Plus,10.48,Entertainment,296.33,0.53
CUSTS-9961,Hulu,17.64,Entertainment,177.19,0.02
CUSTS-9140,Apple Music,12.93,Healthcare,399.09,0.29
CUSTS-8348,Amazon Prime,15.11,Shopping,315.1,0.39
CUSTS-4622,Hulu,10.78,Education,294.94,0.24
CUSTS-7084,Disney+,23.03,Healthcare,297.6,0.25
CUSTS-5313,Netflix,9.75,Entertainment,245.06,0.11
CUSTS-4586,Netflix,26.43,Travel,67.14,0.45
CUSTS-6185,Hulu,28.01,Healthcare,102.12,1.0
CUSTS-2189,Adobe Creative Cloud,6.92,Shopping,165.2,0.83
CUSTS-2147,Hulu,5.99,Utilities,231.03,0.37
CUSTS-8988,Adobe Creative Cloud,8.41,Travel,63.64,0.07
CUSTS-9576,Adobe Creative Cloud,7.09,Healthcare,492.78,0.91
CUSTS-1618,Netflix,15.48,Education,298.37,0.79
CUSTS-3262,Disney+,29.16,Travel,481.35,0.19
CUSTS-7048,PlayStation Plus,22.64,Travel,492.36,0.8
CUSTS-7327,Hulu,16.09,Food,234.12,0.57
CUSTS-5952,Amazon Prime,21.73,Entertainment,239.56,0.15
CUSTS-1946,Adobe Creative Cloud,21.31,Education,462.18,0.42
CUSTS-5348,Apple Music,15.66,Travel,256.68,0.13
CUSTS-1607,Hulu,14.7,Shopping,448.41,0.3
CUSTS-3930,Disney+,23.59,Education,488.59,0.49
CUSTS-5943,Disney+,28.37,Shopping,463.7,0.62
CUSTS-6128,Netflix,18.02,Shopping,481.18,0.62
CUSTS-3841,Apple Music,18.38,Food,317.51,0.67
CUSTS-4838,PlayStation Plus,27.2,Travel,322.93,0.83
CUSTS-6194,PlayStation Plus,9.35,Healthcare,83.8,0.76
CUSTS-8742,Spotify,27.38,Education,428.55,0.75
CUSTS-5402,Netflix,10.66,Education,221.02,0.08
CUSTS-2167,Apple Music,16.82,Shopping,346.54,0.5
CUSTS-3846,PlayStation Plus,23.38,Entertainment,387.06,0.13
CUSTS-9464,PlayStation Plus,28.11,Travel,390.2,0.01
CUSTS-3796,Disney+,26.91,Entertainment,477.21,0.68
CUSTS-6056,Amazon Prime,19.84,Travel,481.57,0.34
CUSTS-1093,Disney+,6.28,Travel,320.2,0.01
CUSTS-5620,Disney+,28.52,Shopping,305.63,0.84
CUSTS-6427,Spotify,14.73,Shopping,406.56,0.36
CUSTS-2786,Apple Music,11.55,Shopping,209.69,0.5
CUSTS-6313,Adobe Creative Cloud,17.27,Travel,491.34,0.23
CUSTS-1485,Netflix,17.71,Education,329.25,0.4
CUSTS-2271,Adobe Creative Cloud,16.87,Healthcare,355.56,0.14
CUSTS-6815,Netflix,13.43,Utilities,275.18,0.88
CUSTS-4022,Hulu,11.54,Entertainment,348.52,0.57
CUSTS-8133,Adobe Creative Cloud,10.34,Food,239.63,0.24
CUSTS-2047,Netflix,12.24,Utilities,73.34,0.7
CUSTS-4646,Hulu,13.98,Education,50.64,0.39
CUSTS-7331,Adobe Creative Cloud,29.76,Education,73.9,0.77
CUSTS-3906,Hulu,29.3,Utilities,229.99,0.7
CUSTS-1230,Netflix,14.51,Food,425.94,0.08
CUSTS-6611,Apple Music,18.39,Travel,170.49,0.31
CUSTS-2835,Disney+,24.4,Education,115.89,0.8
CUSTS-8603,Netflix,20.98,Utilities,220.03,0.37
CUSTS-5468,Apple Music,5.28,Healthcare,212.71,0.75
CUSTS-4189,Adobe Creative Cloud,16.91,Travel,80.28,0.98
CUSTS-5548,Spotify,16.58,Shopping,336.09,0.28
CUSTS-2126,Hulu,25.3,Travel,426.6,0.98
CUSTS-6917,Hulu,22.66,Utilities,181.32,0.33
CUSTS-2725,Amazon Prime,22.78,Entertainment,200.07,0.69
CUSTS-7760,Amazon Prime,13.81,Entertainment,312.34,0.32
CUSTS-3452,PlayStation Plus,25.55,Utilities,439.25,0.37
CUSTS-5476,Hulu,19.25,Education,374.75,0.11
CUSTS-5711,Adobe Creative Cloud,16.03,Education,493.76,0.49
CUSTS-3036,Apple Music,11.84,Travel,166.78,0.3
CUSTS-9753,Adobe Creative Cloud,22.38,Shopping,134.38,0.46
CUSTS-3839,Apple Music,23.55,Food,263.01,0.43
CUSTS-4698,Netflix,15.71,Food,303.61,0.63
CUSTS-2425,Amazon Prime,15.02,Food,410.92,0.47
CUSTS-8379,Spotify,23.26,Travel,298.84,0.62
CUSTS-4042,PlayStation Plus,10.0,Entertainment,143.66,0.3
CUSTS-8462,Spotify,5.7,Education,399.85,0.31
CUSTS-4109,Apple Music,29.13,Entertainment,129.58,0.87
CUSTS-2975,Hulu,17.56,Entertainment,336.67,0.43
CUSTS-3051,Adobe Creative Cloud,9.84,Entertainment,428.16,0.85
CUSTS-4644,Spotify,28.42,Shopping,458.26,0.54
CUSTS-6510,Amazon Prime,17.83,Food,385.1,0.13
CUSTS-7505,Spotify,19.16,Entertainment,58.37,0.13
CUSTS-1487,Hulu,13.38,Food,107.95,0.12
CUSTS-9495,Apple Music,14.92,Food,350.1,0.26
CUSTS-5339,PlayStation Plus,12.2,Food,227.88,0.07
CUSTS-1532,Hulu,29.11,Travel,190.68,0.5
CUSTS-2564,Spotify,25.5,Shopping,97.66,0.49
CUSTS-4005,Spotify,14.11,Entertainment,420.68,0.29
CUSTS-5695,Disney+,11.59,Food,481.38,0.84
CUSTS-6007,Disney+,16.45,Entertainment,437.03,0.56
CUSTS-1374,Spotify,20.86,Entertainment,414.99,0.35
CUSTS-3188,Disney+,12.4,Shopping,257.2,0.24
CUSTS-4492,Adobe Creative Cloud,28.92,Entertainment,448.55,0.3
CUSTS-5766,Spotify,15.81,Food,381.36,0.65
CUSTS-4745,Hulu,21.43,Travel,142.35,0.37
CUSTS-5246,Hulu,25.14,Education,198.22,0.73
CUSTS-2668,Amazon Prime,5.05,Utilities,392.98,0.27
CUSTS-8067,Spotify,23.61,Healthcare,264.57,0.55
CUSTS-9124,Amazon Prime,19.82,Food,200.7,0.29
CUSTS-2755,Disney+,16.01,Education,295.2,0.27
CUSTS-7582,Apple Music,8.25,Healthcare,237.74,0.38
CUSTS-4464,Amazon Prime,12.13,Healthcare,315.08,0.46
CUSTS-4050,Netflix,7.46,Shopping,237.59,0.39
CUSTS-4919,Disney+,17.34,Healthcare,104.24,0.72
CUSTS-2011,Disney+,16.67,Healthcare,160.23,0.38
CUSTS-2843,Disney+,14.14,Shopping,378.27,0.82
CUSTS-2855,Disney+,5.71,Shopping,276.11,0.07
CUSTS-7671,Amazon Prime,6.95,Utilities,236.2,0.04
CUSTS-8895,Netflix,25.32,Entertainment,243.28,0.88
CUSTS-7019,Disney+,9.79,Utilities,455.29,0.16
CUSTS-5530,Spotify,21.81,Food,277.01,0.6
CUSTS-6982,PlayStation Plus,11.79,Education,429.85,0.17
CUSTS-8717,Apple Music,21.01,Utilities,443.58,0.04
CUSTS-5731,PlayStation Plus,5.08,Travel,479.24,0.26
CUSTS-6120,Disney+,9.91,Healthcare,407.05,0.13
CUSTS-9945,Amazon Prime,22.41,Healthcare,54.77,0.04
CUSTS-8929,Apple Music,14.3,Food,198.06,0.22
CUSTS-2299,Disney+,21.55,Utilities,429.62,0.4
CUSTS-6897,Spotify,16.48,Entertainment,431.1,0.52
CUSTS-5613,Netflix,15.43,Shopping,106.98,0.06
CUSTS-8429,Apple Music,14.35,Shopping,74.05,0.41
CUSTS-4391,Hulu,25.31,Education,383.08,0.56
CUSTS-3570,Hulu,9.87,Entertainment,61.93,0.14
CUSTS-3301,Apple Music,18.2,Shopping,497.0,0.79
CUSTS-1837,PlayStation Plus,7.39,Food,183.97,0.93
CUSTS-2033,Spotify,14.69,Entertainment,165.05,0.92
CUSTS-6006,Apple Music,21.88,Entertainment,325.22,0.91
CUSTS-1731,Adobe Creative Cloud,11.32,Healthcare,388.57,0.58
CUSTS-1372,Adobe Creative Cloud,19.11,Utilities,166.3,0.96
CUSTS-2700,Adobe Creative Cloud,23.61,Utilities,398.86,0.17
CUSTS-4621,Disney+,26.73,Education,151.72,0.48
CUSTS-7987,Hulu,12.34,Education,94.65,0.54
CUSTS-1569,Adobe Creative Cloud,8.85,Education,164.46,0.88
CUSTS-1482,Amazon Prime,21.77,Utilities,338.22,0.47
CUSTS-4964,Hulu,29.64,Entertainment,286.07,0.4
CUSTS-1183,Netflix,27.2,Travel,396.65,0.26
CUSTS-2678,Netflix,27.19,Shopping,398.11,0.44
CUSTS-9108,Adobe Creative Cloud,23.4,Healthcare,417.01,0.07
CUSTS-4322,Spotify,18.24,Utilities,381.36,0.43
CUSTS-4291,Hulu,8.47,Travel,468.86,0.75
CUSTS-4726,PlayStation Plus,28.36,Food,348.61,0.57
CUSTS-1634,Spotify,5.03,Travel,401.15,0.91
CUSTS-1264,Apple Music,15.83,Travel,195.96,0.98
CUSTS-8807,Netflix,28.18,Food,407.6,0.35
CUSTS-6258,Apple Music,10.04,Entertainment,196.92,0.15
CUSTS-8511,Apple Music,24.17,Utilities,159.86,0.04
CUSTS-7232,Amazon Prime,7.95,Shopping,93.27,0.63
CUSTS-2179,PlayStation Plus,22.78,Education,172.23,0.84
CUSTS-2333,Hulu,18.33,Healthcare,168.92,0.88
CUSTS-4621,Disney+,18.44,Travel,54.91,0.79
CUSTS-2979,PlayStation Plus,7.01,Entertainment,445.1,0.24
CUSTS-9415,Amazon Prime,7.63,Travel,290.51,0.05
CUSTS-3933,Adobe Creative Cloud,20.05,Utilities,367.86,0.06
CUSTS-6247,Amazon Prime,22.91,Education,106.32,0.83
CUSTS-8477,Adobe Creative Cloud,12.75,Shopping,336.36,0.55
CUSTS-1374,Adobe Creative Cloud,10.16,Travel,144.13,0.32
