Customer_ID,Age,Gender,Income,Location,Last_Transaction,Frequent_Merchant,Average_Monthly_Spend,Social_Media_Platform,Engagement_Score,Customer_Feedback,Review_Score,Credit_Score,Existing_Loans,Loan_Offer,Food_Expense,Entertainment_Expense,Bills_Expense,Savings_Expense,Fraud_Score,Financial_Advice,Investment_Profile
CUST-0001,33,Female,1499140,Hyderabad,7049,Reliance Digital,17808,Instagram,18,Neutral,3,850,5,Personal Loan,12873,1884,6753,14253,62,Increase Savings,Bonds
CUST-0002,18,Male,2036237,Delhi,5689,Big Bazaar,83810,Instagram,9,Positive,4,801,5,Personal Loan,18265,1323,46279,41825,52,Consider a Loan,Bonds
CUST-0003,49,Female,2459065,Hyderabad,6609,DMart,48959,Facebook,1,Positive,1,519,5,Car Loan,15879,5068,39235,27489,30,Reduce Spending,Gold
CUST-0004,41,Female,1424974,Ahmedabad,7864,Flipkart,64137,Instagram,72,Negative,5,798,3,Home Loan,4272,9265,26775,30132,77,Invest in Mutual Funds,Stocks
CUST-0005,37,Male,2424181,Jaipur,1693,Reliance Digital,32345,LinkedIn,60,Neutral,2,835,2,Credit Card Offer,4714,5029,49059,37612,74,Invest in Mutual Funds,Fixed Deposits
CUST-0006,42,Male,1619811,Lucknow,7148,Big Bazaar,32843,Facebook,79,Positive,5,357,4,Car Loan,10886,14392,7460,13846,23,Consider a Loan,Stocks
CUST-0007,36,Male,989989,Kolkata,8621,Big Bazaar,34432,LinkedIn,31,Positive,4,636,2,Credit Card Offer,19357,6932,22838,19202,74,Increase Savings,Bonds
CUST-0008,37,Female,912416,Pune,5598,Myntra,72089,LinkedIn,19,Positive,2,362,4,Home Loan,4681,4124,8616,26960,42,Invest in Mutual Funds,Gold
CUST-0009,60,Female,1742398,Ahmedabad,5908,Reliance Digital,21739,LinkedIn,92,Neutral,3,514,3,Home Loan,5404,13631,39961,14513,92,Invest in Mutual Funds,Stocks
CUST-0010,74,Female,1651502,Kolkata,4591,Amazon,36601,Twitter,96,Negative,2,487,3,Credit Card Offer,10614,3175,23579,48886,88,Consider a Loan,Fixed Deposits
CUST-0011,29,Male,1272969,Chennai,5588,DMart,47772,LinkedIn,54,Neutral,5,624,2,Home Loan,6934,11022,31275,47122,14,Invest in Mutual Funds,Bonds
CUST-0012,36,Male,1261274,Kolkata,8690,Flipkart,31789,Twitter,2,Negative,3,444,1,Home Loan,10425,11065,35178,16537,43,Invest in Mutual Funds,Gold
CUST-0013,42,Male,1070304,Ahmedabad,9497,Reliance Digital,8949,LinkedIn,29,Neutral,4,589,4,Home Loan,9689,3516,35795,37846,86,Reduce Spending,Fixed Deposits
CUST-0014,44,Male,1723400,Bangalore,1160,Big Bazaar,8528,Twitter,88,Positive,4,350,5,Credit Card Offer,18036,7966,33387,30575,47,Reduce Spending,Stocks
CUST-0015,45,Male,2049304,Mumbai,8492,DMart,44027,Facebook,88,Neutral,3,329,2,Personal Loan,19814,7116,45865,48990,100,Increase Savings,Bonds
CUST-0016,64,Male,1895604,Lucknow,1846,Reliance Digital,64179,LinkedIn,29,Positive,4,812,1,Car Loan,4941,5681,46013,42206,76,Consider a Loan,Stocks
CUST-0017,58,Female,870995,Hyderabad,8037,Big Bazaar,36324,Facebook,86,Negative,3,555,5,Personal Loan,2915,10837,33700,4687,100,Invest in Mutual Funds,Gold
CUST-0018,23,Male,481014,Jaipur,3025,Flipkart,52817,Facebook,93,Neutral,3,651,3,Car Loan,9532,12378,14736,11951,17,Consider a Loan,Bonds
CUST-0019,48,Male,1289032,Lucknow,2881,Reliance Digital,87354,Twitter,27,Neutral,3,598,1,Home Loan,12096,1107,11555,33317,87,Increase Savings,Fixed Deposits
CUST-0020,56,Male,1967246,Lucknow,2791,Amazon,60621,Twitter,35,Positive,5,521,1,Credit Card Offer,15852,1817,49690,21556,95,Consider a Loan,Gold
CUST-0021,53,Female,909529,Kolkata,8052,Myntra,12230,LinkedIn,52,Negative,5,455,2,Home Loan,2889,6361,38482,9431,0,Reduce Spending,Bonds
CUST-0022,21,Male,1873826,Kolkata,4939,Flipkart,46878,LinkedIn,95,Negative,1,587,3,Credit Card Offer,16116,2704,11499,43598,28,Increase Savings,Gold
