Customer_ID,Net_Worth,Annual_Income,Risk_Appetite,Primary_Investment,Secondary_Investment,Savings_Percentage,Debt_to_Income_Ratio,Retirement_Fund,Preferred_Advisor
CUSTW-00001,4004131.32,140280.63,Moderate,Mutual Funds,Gold,12.78,0.13,386074.43,Robo-Advisor
CUSTW-00002,957683.28,82428.44,Moderate,Mutual Funds,Stocks,22.79,0.98,752921.64,Robo-Advisor
CUSTW-00003,2294456.69,121767.75,High,Bonds,Mutual Funds,7.26,0.39,373892.29,Robo-Advisor
CUSTW-00004,9052.29,228484.36,High,Bonds,Stocks,46.99,0.73,975989.73,None
CUSTW-00005,851728.47,205030.12,Low,Savings,Bonds,19.03,0.73,981775.31,Robo-Advisor
CUSTW-00006,2000561.87,186073.09,Low,Real Estate,Mutual Funds,15.5,0.94,72239.39,Human Financial Advisor
CUSTW-00007,2312473.14,369511.82,High,Real Estate,Stocks,46.23,0.76,263517.71,Human Financial Advisor
CUSTW-00008,2016963.4,485261.74,Moderate,Cryptocurrency,Gold,5.28,0.9,561665.52,None
CUSTW-00009,4939499.69,394039.96,High,Cryptocurrency,Savings,19.22,0.27,709158.21,None
CUSTW-00010,2303503.4,237315.23,High,Cryptocurrency,Stocks,40.7,0.7,484790.86,Robo-Advisor
CUSTW-00011,4885333.69,332334.49,High,Gold,Bonds,29.96,0.85,866037.09,None
CUSTW-00012,103907.31,201547.4,Low,Mutual Funds,Savings,41.31,0.11,396842.63,Robo-Advisor
CUSTW-00013,2467707.66,343698.7,Low,Gold,Cryptocurrency,9.8,0.73,248351.3,Human Financial Advisor
CUSTW-00014,4875616.28,55485.52,Moderate,Savings,Bonds,15.18,0.83,333517.19,Robo-Advisor
CUSTW-00015,1931034.56,456527.83,Low,Cryptocurrency,Bonds,28.53,0.44,110700.42,Human Financial Advisor
CUSTW-00016,1322129.41,177060.44,Moderate,Bonds,Mutual Funds,34.4,0.54,37769.39,None
CUSTW-00017,1803036.72,226855.34,Low,Real Estate,Savings,39.46,0.57,138399.89,Robo-Advisor
CUSTW-00018,2168576.27,81407.78,Low,Real Estate,Mutual Funds,6.12,0.02,900379.86,Human Financial Advisor
CUSTW-00019,2227092.44,450409.31,High,Cryptocurrency,Gold,13.45,0.43,800962.9,Human Financial Advisor
CUSTW-00020,2922353.61,303668.8,High,Stocks,Savings,23.39,0.81,787774.76,None
CUSTW-00021,4959117.43,478393.73,Low,Mutual Funds,Gold,33.53,0.47,787608.53,Robo-Advisor
CUSTW-00022,658031.04,259645.35,High,Savings,Bonds,44.66,0.93,966076.86,Robo-Advisor
CUSTW-00023,854920.54,326585.24,Moderate,Bonds,Cryptocurrency,41.57,0.71,390615.28,None
CUSTW-00024,2106020.24,442403.33,High,Mutual Funds,Bonds,9.61,0.1,223101.96,None
CUSTW-00025,1091541.32,354502.02,Moderate,Bonds,Cryptocurrency,26.71,0.74,946204.42,None
